,0
0,668
1,221
2,1511
3,122
4,1328
5,1278
6,155
7,645
8,1401
9,964
10,1877
11,14
12,1389
13,1027
14,773
15,1541
16,701
17,1436
18,812
19,936
20,1799
21,175
22,481
23,1084
24,111
25,1490
26,1371
27,669
28,376
29,1501
30,1652
31,1852
32,1566
33,932
34,1074
35,398
36,708
37,1876
38,1528
39,1294
40,1432
41,985
42,1466
43,1594
44,1730
45,110
46,323
47,623
48,953
49,362
50,508
51,1445
52,1567
53,729
54,1476
55,98
56,1321
57,1295
58,419
59,893
60,438
61,939
62,1897
63,1406
64,4
65,839
66,1689
67,1809
68,496
69,1693
70,1051
71,198
72,1778
73,1166
74,687
75,436
76,598
77,1880
78,1235
79,1872
80,281
81,632
82,909
83,1304
84,479
85,1398
86,1118
87,1064
88,453
89,1883
90,1630
91,1017
92,944
93,282
94,851
95,579
96,962
97,226
98,168
99,47
100,1659
101,695
102,185
103,1716
104,846
105,924
106,1319
107,1618
108,385
109,1212
110,1381
111,794
112,5
113,1031
114,464
115,296
116,713
117,1132
118,614
119,460
120,663
121,9
122,871
123,1038
124,257
125,1645
126,1107
127,466
128,1323
129,564
130,1173
131,1779
132,1603
133,1610
134,1171
135,1786
136,7
137,1370
138,1284
139,100
140,1103
141,1823
142,1196
143,248
144,1604
145,1378
146,805
147,973
148,875
149,843
150,1850
151,1587
152,1249
153,1037
154,1226
155,958
156,259
157,373
158,1409
159,1148
160,1781
161,1408
162,1049
163,393
164,1534
165,497
166,1613
167,1472
168,227
169,1684
170,335
171,31
172,43
173,1403
174,1293
175,1682
176,1859
177,725
178,897
179,1003
180,1900
181,1416
182,520
183,201
184,387
185,1390
186,324
187,1890
188,678
189,1121
190,1282
191,1305
192,776
193,1135
194,1255
195,796
196,99
197,1595
198,97
199,70
200,1564
201,1708
202,1494
203,965
204,581
205,1146
206,767
207,1360
208,69
209,310
210,722
211,208
212,1338
213,495
214,1731
215,814
216,1643
217,1311
218,896
219,206
220,39
221,493
222,274
223,91
224,1753
225,59
226,593
227,445
228,1747
229,473
230,740
231,659
232,1912
233,1621
234,917
235,717
236,1217
237,55
238,1061
239,1583
240,1605
241,222
242,553
243,1154
244,457
245,433
246,311
247,768
248,780
249,941
250,1050
251,219
252,1184
253,27
254,1325
255,561
256,594
257,1623
258,811
259,331
260,1056
261,1395
262,1824
263,342
264,71
265,502
266,1467
267,930
268,606
269,677
270,1793
271,733
272,422
273,62
274,621
275,646
276,1865
277,1320
278,1844
279,1680
280,1392
281,806
282,372
283,1232
284,779
285,1709
286,1090
287,313
288,167
289,1141
290,611
291,1822
292,1768
293,900
294,824
295,737
296,363
297,530
298,1149
299,1874
300,1441
301,358
302,116
303,210
304,1670
305,207
306,1664
307,1457
308,75
309,807
310,1563
311,1059
312,1427
313,367
314,394
315,90
316,241
317,1426
318,1697
319,1461
320,1608
321,1754
322,1258
323,490
324,1393
325,268
326,1333
327,1488
328,184
329,1895
330,649
331,1301
332,934
333,471
334,1857
335,1244
336,752
337,1096
338,1344
339,692
340,919
341,482
342,271
343,1070
344,359
345,1460
346,441
347,742
348,1602
349,153
350,1736
351,258
352,1307
353,1646
354,1468
355,159
356,181
357,480
358,213
359,1191
360,339
361,1207
362,1194
363,1221
364,1902
365,698
366,1113
367,1500
368,588
369,395
370,1346
371,1144
372,1683
373,672
374,1124
375,1322
376,849
377,1591
378,720
379,52
380,211
381,1024
382,318
383,437
384,751
385,478
386,1168
387,1493
388,0
389,384
390,1615
391,474
392,469
393,8
394,931
395,674
396,1868
397,739
398,886
399,23
400,1503
401,1735
402,835
403,803
404,1586
405,731
406,1866
407,1111
408,109
409,233
410,1535
411,272
412,1522
413,417
414,1601
415,383
416,1707
417,1187
418,360
419,858
420,1555
421,191
422,732
423,832
424,145
425,961
426,959
427,741
428,578
429,186
430,1516
431,1094
432,1862
433,1519
434,1898
435,1206
436,1821
437,1034
438,1827
439,855
440,1622
441,612
442,1473
443,1224
444,1088
445,1906
446,1543
447,1065
448,330
449,804
450,406
451,1839
452,537
453,681
454,850
455,1435
456,378
457,506
458,1115
459,905
460,95
461,504
462,907
463,126
464,895
465,1075
466,969
467,1136
468,1047
469,815
470,411
471,1840
472,551
473,1718
474,1197
475,403
476,19
477,689
478,446
479,1518
480,1804
481,568
482,558
483,641
484,604
485,102
486,1660
487,590
488,1725
489,277
490,831
491,1041
492,1825
493,992
494,22
495,635
496,1513
497,24
498,1504
499,1656
500,1397
501,356
502,1596
503,1420
504,404
505,991
506,607
507,1896
508,1800
509,41
510,1018
511,1128
512,769
513,1273
514,821
515,1532
516,1280
517,529
518,1192
519,830
520,926
521,1422
522,712
523,716
524,46
525,228
526,230
527,37
528,1099
529,889
530,709
531,1201
532,1081
533,755
534,1287
535,165
536,1001
537,758
538,921
539,56
540,653
541,1843
542,691
543,942
544,231
545,1525
546,1746
547,50
548,989
549,1259
550,878
551,1202
552,173
553,1210
554,178
555,276
556,539
557,148
558,334
559,863
560,475
561,676
562,1016
563,305
564,1400
565,1834
566,476
567,1580
568,711
569,275
570,1002
571,161
572,699
573,1620
574,1384
575,925
576,660
577,656
578,1894
579,619
580,147
581,1527
582,401
583,1057
584,1756
585,745
586,392
587,705
588,35
589,294
590,876
591,1237
592,1170
593,1134
594,1846
595,882
596,194
597,1854
598,329
599,1832
600,1200
601,42
602,735
603,366
604,1759
605,952
606,1085
607,947
608,489
609,53
610,16
611,1364
612,734
613,799
614,1639
615,836
616,1145
617,1442
618,336
619,1434
620,728
621,1048
622,1238
623,1836
624,172
625,370
626,609
627,1336
628,200
629,566
630,79
631,1028
632,264
633,1174
634,204
635,572
636,628
637,321
638,389
639,143
640,700
641,1909
642,908
643,1695
644,1076
645,620
646,1448
647,1179
648,1667
649,1175
650,1505
651,1805
652,325
653,1849
654,730
655,454
656,510
657,1234
658,1548
659,1180
660,283
661,1691
662,1383
663,1530
664,1015
665,559
666,874
667,67
668,86
669,364
670,524
671,1833
672,770
673,1366
674,74
675,179
676,827
677,1376
678,1373
679,1767
680,1327
681,1222
682,554
683,1661
684,1093
685,615
686,57
687,1624
688,790
689,1042
690,412
691,1547
692,1782
693,1326
694,397
695,943
696,1544
697,133
698,920
699,516
700,138
701,1011
702,236
703,1264
704,963
705,1450
706,85
707,984
708,1177
709,129
710,686
711,247
712,214
713,759
714,249
715,714
716,89
717,801
718,3
719,1073
720,1650
721,1539
722,132
723,1792
724,123
725,1062
726,265
727,166
728,1470
729,494
730,1739
731,1127
732,361
733,1533
734,154
735,1671
736,1740
737,177
738,1263
739,576
740,527
741,1298
742,1204
743,1769
744,629
745,791
746,828
747,541
748,847
749,1829
750,747
751,1446
752,976
753,1766
754,856
755,278
756,912
757,1036
758,1562
759,753
760,1885
761,160
762,1283
763,499
764,1657
765,1386
766,1675
767,760
768,1861
769,1484
770,1215
771,32
772,349
773,1110
774,1030
775,429
776,345
777,18
778,1083
779,30
780,1651
781,1469
782,468
783,418
784,1570
785,1267
786,1120
787,652
788,955
789,1668
790,723
791,869
792,20
793,1873
794,654
795,1831
796,293
797,297
798,114
799,1770
800,1477
801,1489
802,1491
803,1773
804,1082
805,461
806,627
807,1114
808,1812
809,1732
810,1483
811,1195
812,1858
813,1748
814,82
815,1706
816,209
817,176
818,906
819,933
820,1636
821,549
822,1020
823,702
824,124
825,1117
826,595
827,382
828,1685
829,584
830,1367
831,1261
832,1581
833,451
834,1243
835,1453
836,1286
837,1253
838,1569
839,443
840,1078
841,522
842,1279
843,1744
844,1365
845,1760
846,199
847,1188
848,11
849,838
850,1464
851,1745
852,1119
853,1229
854,940
855,45
856,1433
857,809
858,1743
859,1758
860,1568
861,77
862,1681
863,1889
864,17
865,818
866,1337
867,1556
868,1508
869,704
870,224
871,1022
872,562
873,1335
874,852
875,286
876,1063
877,1182
878,1058
879,1765
880,1021
881,462
882,477
883,220
884,1837
885,1399
886,192
887,840
888,765
889,1035
890,280
891,1653
892,650
893,449
894,542
895,1552
896,505
897,501
898,1738
899,567
900,415
901,142
902,1710
903,1040
904,682
905,778
906,202
907,899
908,500
909,762
910,1091
911,1440
912,1227
913,87
914,1808
915,1795
916,1687
917,1775
918,761
919,1538
920,402
921,545
922,44
923,1167
924,197
925,1715
926,515
927,1811
928,854
929,1039
930,1629
931,1480
932,1777
933,866
934,1588
935,884
936,1104
937,424
938,592
939,1523
940,1092
941,1087
942,1067
943,1864
944,782
945,444
946,180
947,1559
948,639
949,1495
950,103
951,483
952,1176
953,140
954,1262
955,721
956,877
957,719
958,1348
959,488
960,642
961,928
962,1033
963,312
964,245
965,1606
966,386
967,1910
968,1663
969,1412
970,405
971,1006
972,357
973,1029
974,420
975,873
976,1485
977,853
978,861
979,1211
980,703
981,1013
982,618
983,61
984,298
985,434
986,319
987,1571
988,1155
989,80
990,1550
991,452
992,1339
993,1803
994,118
995,844
996,1299
997,552
998,1233
999,1640
1000,1674
1001,421
1002,597
1003,1665
1004,1626
1005,1425
1006,867
1007,343
1008,547
1009,1463
1010,1066
1011,825
1012,929
1013,105
1014,727
1015,492
1016,816
1017,1069
1018,1102
1019,1520
1020,414
1021,655
1022,368
1023,229
1024,591
1025,813
1026,1828
1027,514
1028,1414
1029,216
1030,1437
1031,531
1032,64
1033,260
1034,536
1035,577
1036,1702
1037,1634
1038,1609
1039,834
1040,841
1041,107
1042,1108
1043,1686
1044,1579
1045,785
1046,810
1047,1077
1048,1225
1049,66
1050,509
1051,911
1052,409
