,0
0,1115
1,1181
2,156
3,1607
4,25
5,635
6,955
7,76
8,1617
9,989
10,26
11,67
12,735
13,984
14,811
15,131
16,806
17,654
18,1112
19,90
20,170
21,1807
22,599
23,861
24,1221
25,505
26,1521
27,126
28,394
29,1149
30,1010
31,246
32,51
33,95
34,241
35,3
36,1386
37,1726
38,307
39,1754
40,101
41,169
42,585
43,437
44,358
45,476
46,37
47,693
48,1629
49,889
50,1683
51,36
52,1575
53,1791
54,498
55,1784
56,1080
57,1744
58,1402
59,824
60,143
61,1484
62,712
63,760
64,318
65,1460
66,1415
67,847
68,245
69,1116
70,570
71,1640
72,1394
73,1828
74,1516
75,1092
76,1210
77,606
78,1662
79,1906
80,408
81,1168
82,1543
83,44
84,1750
85,1827
86,1190
87,420
88,1464
89,1504
90,1286
91,386
92,709
93,1059
94,42
95,1114
96,1480
97,349
98,1864
99,1011
100,263
101,910
102,1724
103,1817
104,1839
105,1113
106,602
107,337
108,551
109,1075
110,560
111,919
112,1854
113,1053
114,966
115,991
116,1191
117,1352
118,1013
119,1070
120,816
121,1676
122,1609
123,46
124,1573
125,88
126,1131
127,1665
128,1236
129,184
130,1767
131,429
132,428
133,558
134,744
135,639
136,1334
137,1183
138,200
139,1243
140,764
141,66
142,204
143,697
144,1178
145,1021
146,651
147,354
148,1093
149,876
150,286
151,1373
152,181
153,683
154,698
155,845
156,87
157,1862
158,916
159,637
160,1159
161,1581
162,319
163,1514
164,1453
165,1700
166,1207
167,706
168,980
169,430
170,40
171,218
172,1539
173,968
174,1382
175,715
176,823
177,1664
178,891
179,21
180,748
181,1324
182,1271
183,129
184,945
185,314
186,929
187,1687
188,702
189,1429
190,950
191,1337
192,1536
193,1065
194,182
195,1548
196,1258
197,1857
198,804
199,942
200,341
201,465
202,518
203,297
204,1844
205,976
206,548
207,360
208,957
209,1749
210,1586
211,1482
212,364
213,138
214,316
215,1320
216,1704
217,895
218,960
219,864
220,272
221,1122
222,492
223,61
224,1635
225,1028
226,1668
227,856
228,407
229,588
230,1225
231,413
232,1685
233,784
234,913
235,884
236,1874
237,1238
238,256
239,1039
240,258
241,1322
242,1816
243,1244
244,108
245,1206
246,343
247,278
248,1870
249,704
250,1740
251,1653
252,525
253,448
254,935
255,835
256,1803
257,86
258,852
259,312
260,1661
261,1588
262,84
263,186
264,1840
265,444
266,1838
267,887
268,1306
269,1743
270,631
271,662
272,1264
273,1869
274,375
275,1020
276,975
277,365
278,1079
279,147
280,1723
281,225
282,922
283,63
284,1891
285,210
286,1204
287,414
288,954
289,345
290,494
291,1873
292,1519
293,815
294,231
295,904
296,1124
297,987
298,1841
299,1054
300,1003
301,974
302,110
303,436
304,1038
305,466
306,1605
307,1416
308,1331
309,59
310,1193
311,1004
312,1249
313,1897
314,944
315,936
316,221
317,1368
318,9
319,1905
320,1882
321,185
322,1217
323,1658
324,481
325,598
326,459
327,259
328,1551
329,520
330,865
331,1027
332,508
333,1496
334,1818
335,1614
336,634
337,1166
338,1196
339,1246
340,1037
341,373
342,1693
343,1549
344,1305
345,445
346,385
347,898
348,1561
349,1278
350,1883
351,932
352,1690
353,669
354,848
355,1604
356,97
357,222
358,447
359,457
360,1673
361,387
362,1276
363,1396
364,1319
365,198
366,645
367,829
368,859
369,1613
370,574
371,98
372,282
373,55
374,7
375,812
376,219
377,707
378,1311
379,1241
380,589
381,467
